# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
f,K,alpha,beta,nu,rho,T,shift,lognormal_vol,normal_vol
0.03,0.0315,0.035,0.5,0.5,-0.4,1,0.01,0.17198200951442685,0.0069987992244460815
0.03,0.0315,0.035,0.5,0.9,0.3,5,0.01,0.23704752275196586,0.009612858249135851
0.03,0.039,0.035,0.5,0.5,-0.4,1,0.01,0.1577074233790425,0.0069860246937276885
0.03,0.039,0.035,0.5,0.9,0.3,5,0.01,0.2785973727759669,0.012301310840986948
0.03,0.06,0.035,0.5,0.5,-0.4,1,0.01,0.170414290978374,0.009126898677294952
0.03,0.06,0.035,0.5,0.9,0.3,5,0.01,0.3823527187348633,0.020422283048530995
0.05,0.025,0.0873,0.7,0.5,-0.4,1,0.01,0.29723673184517996,0.013758972164474222
0.05,0.025,0.0873,0.7,0.9,0.3,5,0.01,0.37213345641250106,0.0171309065772313
0.05,0.04000000000000001,0.0873,0.7,0.5,-0.4,1,0.01,0.23280450450229134,0.012745930805686015
0.05,0.04000000000000001,0.0873,0.7,0.9,0.3,5,0.01,0.2753941425362097,0.015002765458488207
0.05,0.0475,0.0873,0.7,0.5,-0.4,1,0.01,0.2106999799646046,0.012355412623349587
0.05,0.0475,0.0873,0.7,0.9,0.3,5,0.01,0.26778468715747056,0.015627942640864877
0.05,0.052500000000000005,0.0873,0.7,0.5,-0.4,1,0.01,0.19975330889111956,0.012212618782500977
0.05,0.052500000000000005,0.0873,0.7,0.9,0.3,5,0.01,0.2790628193368723,0.016982056308474366
0.05,0.065,0.0873,0.7,0.5,-0.4,1,0.01,0.18569708903178803,0.012462928635396432
0.05,0.065,0.0873,0.7,0.9,0.3,5,0.01,0.327611829103422,0.021890396369468337
0.05,0.1,0.0873,0.7,0.5,-0.4,1,0.01,0.1996090448671086,0.01644234251184384
0.05,0.1,0.0873,0.7,0.9,0.3,5,0.01,0.4471541147676145,0.036688002947356746
100,50,0.2,1,0.5,-0.4,1,0.01,0.3011724238752504,21.692121505249503
100,50,0.2,1,0.9,0.3,5,0.01,0.40118626193624124,28.76621272564376
100,80,0.2,1,0.5,-0.4,1,0.01,0.22936616258909392,20.52595791298671
100,80,0.2,1,0.9,0.3,5,0.01,0.27489152937862577,24.489800861095443
100,95,0.2,1,0.5,-0.4,1,0.01,0.20671584134124724,20.11905174556948
100,95,0.2,1,0.9,0.3,5,0.01,0.264728259560962,25.649792930406587
100,105,0.2,1,0.5,-0.4,1,0.01,0.1966630216938198,20.122530502889326
100,105,0.2,1,0.9,0.3,5,0.01,0.28256125383987357,28.78208864698524
100,130,0.2,1,0.5,-0.4,1,0.01,0.18866746251058059,21.53929855352015
100,130,0.2,1,0.9,0.3,5,0.01,0.35126656397271544,39.92281634379252
100,200,0.2,1,0.5,-0.4,1,0.01,0.21885452184012275,31.523978300641666
100,200,0.2,1,0.9,0.3,5,0.01,0.5050534305677766,72.42235315628925
0.03,0.015,0.0035,0,0.5,-0.4,1,0.03,0.11048350201080231,0.0057596365367117985
0.03,0.015,0.0035,0,0.9,0.3,5,0.03,0.14300854673801644,0.007451141787346309
0.03,0.024,0.0035,0,0.5,-0.4,1,0.03,0.07670037959555968,0.004367204519976336
0.03,0.024,0.0035,0,0.9,0.3,5,0.03,0.08819446290610561,0.0050193788780209725
0.03,0.028499999999999998,0.0035,0,0.5,-0.4,1,0.03,0.06290076217609027,0.0037261376959586115
0.03,0.028499999999999998,0.0035,0,0.9,0.3,5,0.03,0.07377467943243554,0.004368457758678968
0.03,0.0315,0.0035,0,0.5,-0.4,1,0.03,0.05640581771890495,0.0034260128129703997
0.03,0.0315,0.0035,0,0.9,0.3,5,0.03,0.08012970038264686,0.004865027546730336
0.03,0.039,0.0035,0,0.5,-0.4,1,0.03,0.05541024966099411,0.003567721804858101
0.03,0.039,0.0035,0,0.9,0.3,5,0.03,0.11417527663661614,0.00734883473754921
0.03,0.06,0.0035,0,0.5,-0.4,1,0.03,0.07966994904764536,0.00589415961304616
0.03,0.06,0.0035,0,0.9,0.3,5,0.03,0.18669201293409832,0.013808123351540275
0.03,0.015,0.035,0.5,0.5,-0.4,1,0.03,0.1945072642522963,0.010131940549860542
0.03,0.015,0.035,0.5,0.9,0.3,5,0.03,0.23086758090681822,0.01199282035950506
0.03,0.024,0.035,0.5,0.5,-0.4,1,0.03,0.1611448621504501,0.009168641360942495
0.03,0.024,0.035,0.5,0.9,0.3,5,0.03,0.18786531792629182,0.010662029266573147
0.03,0.028499999999999998,0.035,0.5,0.5,-0.4,1,0.03,0.14828351483726712,0.00877785324435703
0.03,0.028499999999999998,0.035,0.5,0.9,0.3,5,0.03,0.1856383178513868,0.010962516518080827
0.03,0.0315,0.035,0.5,0.5,-0.4,1,0.03,0.1414246650409588,0.008583982225963606
0.03,0.0315,0.035,0.5,0.9,0.3,5,0.03,0.19202458670110417,0.01162768810135603
0.03,0.039,0.035,0.5,0.5,-0.4,1,0.03,0.13112214910347234,0.008437023763048083
0.03,0.039,0.035,0.5,0.9,0.3,5,0.03,0.22053175037643963,0.014158393954411135
0.03,0.06,0.035,0.5,0.5,-0.4,1,0.03,0.137762296848301,0.010185918201496565
0.03,0.06,0.035,0.5,0.9,0.3,5,0.03,0.3005983256094898,0.02218224327244605
0.05,0.025,0.0873,0.7,0.5,-0.4,1,0.03,0.24973480999315778,0.016635903048540016
0.05,0.025,0.0873,0.7,0.9,0.3,5,0.03,0.30231844188379037,0.020049256271349822
0.05,0.04000000000000001,0.0873,0.7,0.5,-0.4,1,0.03,0.20770592572807414,0.015531654050707206
0.05,0.04000000000000001,0.0873,0.7,0.9,0.3,5,0.03,0.2467629927558359,0.018375845917873845
0.05,0.0475,0.0873,0.7,0.5,-0.4,1,0.03,0.19226551533545314,0.015117752702952599
0.05,0.0475,0.0873,0.7,0.9,0.3,5,0.03,0.24531980428175112,0.01921188582055331
0.05,0.052500000000000005,0.0873,0.7,0.5,-0.4,1,0.03,0.18420820691081718,0.01494450556445371
0.05,0.052500000000000005,0.0873,0.7,0.9,0.3,5,0.03,0.25404920688012533,0.02052928320164272
0.05,0.065,0.0873,0.7,0.5,-0.4,1,0.03,0.1722245501218932,0.015012231359114564
0.05,0.065,0.0873,0.7,0.9,0.3,5,0.03,0.2903024711655564,0.02520890595981401
0.05,0.1,0.0873,0.7,0.5,-0.4,1,0.03,0.17886904663699166,0.018398029774066915
0.05,0.1,0.0873,0.7,0.9,0.3,5,0.03,0.3890967727215987,0.0398833766886459
100,50,0.2,1,0.5,-0.4,1,0.03,0.3011415860772817,21.696157743462134
100,50,0.2,1,0.9,0.3,5,0.03,0.40112793021439463,28.770327769975967
100,80,0.2,1,0.5,-0.4,1,0.03,0.22935897429025887,20.529913236907763
100,80,0.2,1,0.9,0.3,5,0.03,0.27488246495194424,24.494479969224713
100,95,0.2,1,0.5,-0.4,1,0.03,0.20671462859724488,20.12306205941828
100,95,0.2,1,0.9,0.3,5,0.03,0.2647292376055414,25.655150976520503
100,105,0.2,1,0.5,-0.4,1,0.03,0.19666381719003018,20.126539435564407
100,105,0.2,1,0.9,0.3,5,0.03,0.28255886902657756,28.78746337609731
100,130,0.2,1,0.5,-0.4,1,0.03,0.188666985572259,21.54303284192777
100,130,0.2,1,0.9,0.3,5,0.03,0.3512501034899714,39.92796761261285
100,200,0.2,1,0.5,-0.4,1,0.03,0.21884418754076942,31.52703710297553
100,200,0.2,1,0.9,0.3,5,0.03,0.5050187063817781,72.42782063310385
